中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
零陵香,Linglingxiang,Lysimachiae Foenigraeci Herba,辛温解表药,"(1S,2S,5S)-2,5-dimethylcyclohexan-1-ol",MOL011883,11883,2945,,BCHE,Cholinesterase,559,3923,0.957174,0.704,0.830587,,
木贼,Muzei,Equiseti Hiemalis Herba,辛凉解表药,"4,5-Dihydrosylvan",MOL011943,11943,3850,,BCHE,Cholinesterase,559,3923,0.855496,0.716,0.785748,,
木贼,Muzei,Equiseti Hiemalis Herba,辛凉解表药,"3,3-Dimethylhexane",MOL011946,11946,2381,,BCHE,Cholinesterase,559,3923,0.993459,0.724,0.8587295,,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,ZINC02013201,MOL012147,12147,2447,,BCHE,Cholinesterase,559,3923,0.965053,0.746,0.8555265,,
川牛膝,Chuanniuxi,Cyathulae Radix,活血祛瘀药,Cycasin_qt,MOL012290,12290,3689,,BCHE,Cholinesterase,559,3923,0.85485,0.734,0.794425,,
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,"2,3,4-Trimethylpentane",MOL012306,12306,2282,,BCHE,Cholinesterase,559,3923,0.994596,0.732,0.863298,,
杜仲叶,Duzhongye,Eucommiae Folium,拔毒化腐生肌药,"2,4-Dimethylhexane",MOL012307,12307,2703,,BCHE,Cholinesterase,559,3923,0.983879,0.7,0.8419395,,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,"2,4-Dimethylhexane",MOL012307,12307,2703,,BCHE,Cholinesterase,559,3923,0.983879,0.7,0.8419395,,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,"2,4-Dimethylhexane",MOL012307,12307,2703,,BCHE,Cholinesterase,559,3923,0.983879,0.7,0.8419395,,
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,cyclohexyl-methoxy-dimethylsilane,MOL012607,12607,541,,BCHE,Cholinesterase,559,3923,0.970713,0.704,0.8373565,,
人参叶,Renshenye,Ginseng Folium,补气药,"2,3-dimethoxy-2-methylbutane",MOL012629,12629,817,,BCHE,Cholinesterase,559,3923,0.987776,0.72,0.853888,,
人参叶,Renshenye,Ginseng Folium,补气药,(S)-2-butanol,MOL012643,12643,2816,,BCHE,Cholinesterase,559,3923,0.931748,0.742,0.836874,,
竹节参,Zhujieshen,Panacis Japonici Rhizoma,补气药,Isopropyl ethyl ether,MOL012850,12850,3173,,BCHE,Cholinesterase,559,3923,0.935279,0.706,0.8206395,,
紫苏子,Zisuzi,Perillae Fructus,止咳平喘药,"(1S,2S)-2-ethylcyclohexan-1-ol",MOL012875,12875,2750,,BCHE,Cholinesterase,559,3923,0.965486,0.714,0.839743,,
紫苏子,Zisuzi,Perillae Fructus,止咳平喘药,()-Isopulegol,MOL012880,12880,169,,BCHE,Cholinesterase,559,3923,0.946883,0.71,0.8284415,,
紫苏子,Zisuzi,Perillae Fructus,止咳平喘药,Trimethylphosphine oxide,MOL012900,12900,1232,,BCHE,Cholinesterase,559,3923,0.948956,0.752,0.850478,,
桑叶,Sangye,Mori Follum,辛凉解表药,ZINC02034403,MOL013036,13036,1524,,BCHE,Cholinesterase,559,3923,0.939208,0.75,0.844604,,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,ZINC02034403,MOL013036,13036,1524,,BCHE,Cholinesterase,559,3923,0.939208,0.75,0.844604,,
芥子,Jiezi,Sinapis Semen,化痰药,ZINC02034403,MOL013036,13036,1524,,BCHE,Cholinesterase,559,3923,0.939208,0.75,0.844604,,
薄荷,Bohe,Menthae Herba,辛凉解表药,ZINC02034403,MOL013036,13036,1524,,BCHE,Cholinesterase,559,3923,0.939208,0.75,0.844604,,
丁香,Dingxiang,Caryophylliflos,温里药,Butyrone,MOL013216,13216,3202,,BCHE,Cholinesterase,559,3923,0.868289,0.77,0.8191445,,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,Hydroxybutyric acid-,MOL013247,13247,1733,,BCHE,Cholinesterase,559,3923,0.894829,0.762,0.8284145,,
花椒,Huajiao,Zanthoxyli Pericarpium,温里药,Dymel A,MOL013273,13273,2860,,BCHE,Cholinesterase,559,3923,0.938822,0.73,0.834411,,
荠菜,Jicai,Capsellae Herba,利水渗湿药,2-propoxypropane,MOL013297,13297,2801,,BCHE,Cholinesterase,559,3923,0.941034,0.734,0.837517,,
荠菜,Jicai,Capsellae Herba,利水渗湿药,Paracetat,MOL013308,13308,1669,,BCHE,Cholinesterase,559,3923,0.922119,0.78,0.8510595,,
鸡骨草,Jigucao,Abri Herba,利水渗湿药,kainic acid,MOL013326,13326,4182,,APOE,Apolipoprotein E,443,1932,,,,,
玉米须,Yumixu,Maydis Seigma,利水渗湿药,Hystl,MOL013362,13362,4104,,BCHE,Cholinesterase,559,3923,0.82225,0.706,0.764125,,
玉米须,Yumixu,Maydis Seigma,利水渗湿药,(-)-Methyl 2-methylbutyrate,MOL013371,13371,1468,,BCHE,Cholinesterase,559,3923,0.946973,0.754,0.8504865,,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,(-)-Methyl 2-methylbutyrate,MOL013371,13371,1468,,BCHE,Cholinesterase,559,3923,0.946973,0.754,0.8504865,,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,(-)-Methyl 2-methylbutyrate,MOL013371,13371,1468,,BCHE,Cholinesterase,559,3923,0.946973,0.754,0.8504865,,
薄荷,Bohe,Menthae Herba,辛凉解表药,(-)-Methyl 2-methylbutyrate,MOL013371,13371,1468,,BCHE,Cholinesterase,559,3923,0.946973,0.754,0.8504865,,
玉米须,Yumixu,Maydis Seigma,利水渗湿药,Methyl butyrate,MOL013372,13372,3272,,BCHE,Cholinesterase,559,3923,0.856207,0.776,0.8161035,,
桃仁,Taoren,Persicae Semen,活血祛瘀药,GA97,MOL001363,1363,1846,,BCHE,Cholinesterase,559,3923,0.895727,0.706,0.8008635,,
三七,Sanqi,Panax Notoginseng (Burk.) F. H. Chen Ex C. Chow,化瘀止血药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
乌药,Wuyao,Linderae Radix,理气药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
亚麻子,Yamazi,Semen Lini,润下药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
仙茅,Xianmao,Curculiginis Rhizome,补阳药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
伸筋草,Shenjincao,Rhizome Of Whiteback Greenbrier,祛风湿散寒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
余甘子,Yuganzi,Phyllanthi Fructus,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
使君子,Shijunzi,Quisqualis Indica,驱虫药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
侧柏叶,Cebaiye,Platycladi Cacumen,凉血止血药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
党参,Dangshen,Codonopsis Radix,补气药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
功劳木,Gonglaomu,Mahoniae Caulis,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
化橘红,Huajuhong,Citri Grandis Exocarpium,理气药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
十大功劳叶,Shidagonglaoye,Mahoniae Folum,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
千金子,Qianjinzi,Semen Euphorbiae,通水药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
升麻,Shengma,Cimicifugae Rhizoma,辛凉解表药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
半枝莲,Banzhilian,Scutellariae Barbatae Herba,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
南瓜子,Nanguazi,Cucurbitae Moschatae Semen,驱虫药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
厚朴,Houpu,Magnolia Officinalis Rehd Et Wils．,化湿药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
商陆,Shanglu,Phytolaccae Radix,通水药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
四季青,Sijiqing,Ilicis Purpureae Folium,清热解毒药,myristic acid,MOL001393,1393,1687,,BCHE,Cholinesterase,559,3923,0.916548,0.702,0.809274,,
