中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
西河柳,Xiheliu,Tamaricis Cacumen,辛温解表药,alpha-Eudesmol,MOL004713,4713,4166,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,alpha-Eudesmol,MOL004713,4713,4166,
麻黄,Mahuang,Ephedra Herba,辛温解表药,alpha-Eudesmol,MOL004713,4713,4166,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,"(4aS,9aS)-2,9,9-trimethyl-5-methylene-4,4a,6,7,8,9a-hexahydro-3H-benzo[7]annulene",MOL004715,4715,585,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
蒿本,Haoben,Radix et Rhizoma Ligustici Chinesis,辛温解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
覆盆子,Fupenzi,Rubi Fructus,收涩药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
香薷,Xiangru,Moslae Herba,辛温解表药,"(3R,4aR,8aR)-3-isopropenyl-5,8a-dimethyl-2,3,4,4a,7,8-hexahydro-1H-naphthalene",MOL004717,4717,592,
决明子,Juemingzi,Cassiae Semen,清热泻火药,emodin,MOL000472,472,2116,
土贝母,Tubeimu,Bolbostemae Paniculati Bulbus,化痰药,emodin,MOL000472,472,2116,
地骨皮,Digupi,Lycii Cortex,清虚热药,emodin,MOL000472,472,2116,
大血藤,Daxueteng,Sargentodoxae Caulis,清热解毒药,emodin,MOL000472,472,2116,
大黄,Dahuang,Radix Rhei Et Rhizome,攻下药,emodin,MOL000472,472,2116,
山豆根,Shandougen,Sophorae Tonkinensis Radix Et Rhizome,清热解毒药,emodin,MOL000472,472,2116,
延胡索,Yanhusuo,Corydalis Rhizoma,理气药,emodin,MOL000472,472,2116,
板蓝根,Banlangen,Isatidis Radix,清热解毒药,emodin,MOL000472,472,2116,
枳椇子,Zhijuzi,Hoveniae Dulcis Semen,利水渗湿药,emodin,MOL000472,472,2116,
泽泻,Zexie,Alisma Orientale (Sam.) Juz.,利水渗湿药,emodin,MOL000472,472,2116,
淫羊藿,Yinyanghuo,Epimrdii Herba,补阳药,emodin,MOL000472,472,2116,
牵牛子,Qianniuzi,Semen Pharbitidis,通水药,emodin,MOL000472,472,2116,
猕猴桃根,Mihoutaogen,Actinidia Chinensis Planch,清热解毒药,emodin,MOL000472,472,2116,
番泻叶,Fanxieye,Sennae Folium,攻下药,emodin,MOL000472,472,2116,
白蔹,Bailian,Ampelopsis Japonica,清热解毒药,emodin,MOL000472,472,2116,
百合,Baihe,Lilii Bulbus,补阴药,emodin,MOL000472,472,2116,
瞿麦,Qumai,Dianthi Herba,利水渗湿药,emodin,MOL000472,472,2116,
石菖蒲,Shichangpu,Acoritataninowii Rhizoma,开窍药,emodin,MOL000472,472,2116,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,emodin,MOL000472,472,2116,
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,emodin,MOL000472,472,2116,
苎麻根,Zhumagen,Boehmeriae Rhizoma Et Radix,凉血止血药,emodin,MOL000472,472,2116,
蒺藜,Jili,Tribulifructus,平肝熄风药,emodin,MOL000472,472,2116,
薄荷,Bohe,Menthae Herba,辛凉解表药,emodin,MOL000472,472,2116,
虎杖,Huzhang,Polygoni Cuspidati Rhizoma Et Radix,利水渗湿药,emodin,MOL000472,472,2116,
金荞麦,Jinqiaomai,Rhizoma Fagopyri Cymosi,清热解毒药,emodin,MOL000472,472,2116,
高良姜,Gaoliangjiang,Alpiniae Officinarum Rhizome,温里药,emodin,MOL000472,472,2116,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,emodin,MOL000472,472,2116,
鸡骨草,Jigucao,Abri Herba,利水渗湿药,emodin,MOL000472,472,2116,
黄药子,Huangyaozi,Dioscoreaebulbiferae,化痰药,emodin,MOL000472,472,2116,
鼠曲草,Shuqucao,Gnaphalii Affinis Herba,化痰药,emodin,MOL000472,472,2116,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,β-cedrene,MOL004720,4720,202,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,β-oplopenone,MOL004722,4722,707,
北五味子,Beiwuweizi,Schisandrae Chinensis Fructus,收涩药,beta-Terpinene,MOL004723,4723,518,
当归,Danggui,Angelicae Sinensis Radix,补血药,beta-Terpinene,MOL004723,4723,518,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,beta-Terpinene,MOL004723,4723,518,
桑叶,Sangye,Mori Follum,辛凉解表药,beta-Terpinene,MOL004723,4723,518,
甘草,Gancao,licorice,补气药,beta-Terpinene,MOL004723,4723,518,
白芷,Baizhi,A. Dahurica (Fisch.) Benth. Et Hook,辛温解表药,beta-Terpinene,MOL004723,4723,518,
紫苏,Zisu,Perilla Frutescens,辛温解表药,beta-Terpinene,MOL004723,4723,518,
蒿本,Haoben,Radix et Rhizoma Ligustici Chinesis,辛温解表药,beta-Terpinene,MOL004723,4723,518,
薄荷,Bohe,Menthae Herba,辛凉解表药,beta-Terpinene,MOL004723,4723,518,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,beta-Terpinene,MOL004723,4723,518,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,beta-Terpinene,MOL004723,4723,518,
冬葵果,Dongkuiguo,Malvae Fructus,拔毒化腐生肌药,(5S)-5-hexyloxolan-2-one,MOL004725,4725,3765,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,(5S)-5-hexyloxolan-2-one,MOL004725,4725,3765,
苦杏仁,Kuxingren,Amygdalus Communis Vas,止咳平喘药,(5S)-5-hexyloxolan-2-one,MOL004725,4725,3765,
一枝黄花,Yizhihuanghua,Solidaginis Herba,辛凉解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
三七花,Sanqihua,Notoginseng Flos,清热解毒药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
凌霄花,Lingxiaohua,Campsis Flos,活血祛瘀药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
牡荆叶,Mujingye,Viticis Negundo Folium,辛凉解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
紫苏,Zisu,Perilla Frutescens,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
紫苏子,Zisuzi,Perillae Fructus,止咳平喘药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
薄荷,Bohe,Menthae Herba,辛凉解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,"(1R,4aR,8aS)-1-isopropyl-7-methyl-4-methylene-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",MOL004727,4727,1230,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,γ-patchoulene,MOL004728,4728,3500,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,γ-patchoulene,MOL004728,4728,3500,
月季花,Yuejihua,Mori Cortex,活血祛瘀药,NOJ,MOL004729,4729,3768,
桑叶,Sangye,Mori Follum,辛凉解表药,NOJ,MOL004729,4729,3768,
桑椹,Sangsheng,Mori Fructus,补阴药,NOJ,MOL004729,4729,3768,
桑白皮,Sangbaipi,Mori Cortex,止咳平喘药,NOJ,MOL004729,4729,3768,
蚕沙,Cansha,Bombyx Mori L.,祛风湿散寒药,NOJ,MOL004729,4729,3768,
凌霄花,Lingxiaohua,Campsis Flos,活血祛瘀药,(-)-trans-Carveol,MOL000473,473,1883,
石菖蒲,Shichangpu,Acoritataninowii Rhizoma,开窍药,(-)-trans-Carveol,MOL000473,473,1883,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,(-)-trans-Carveol,MOL000473,473,1883,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,(-)-trans-Carveol,MOL000473,473,1883,
荆芥,Jingjie,Schizonepetae Herba,辛温解表药,(-)-trans-Carveol,MOL000473,473,1883,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,(-)-trans-Carveol,MOL000473,473,1883,
薄荷,Bohe,Menthae Herba,辛凉解表药,(-)-trans-Carveol,MOL000473,473,1883,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,(-)-trans-Carveol,MOL000473,473,1883,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,(-)-trans-Carveol,MOL000473,473,1883,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,(-)-trans-Carveol,MOL000473,473,1883,
蚕沙,Cansha,Bombyx Mori L.,祛风湿散寒药,"3S,5R-dihydroxy -6R,7-megstigmadien-9-one",MOL004731,4731,1042,
半夏,Banxia,Arum Ternatum Thunb.,化痰药,DAL,MOL004739,4739,534,
桑叶,Sangye,Mori Follum,辛凉解表药,DAL,MOL004739,4739,534,
檀香,Tanxiang,Santalum Album L．,理气药,DAL,MOL004739,4739,534,
瓜蒌,Gualou,Trichosanthes Kirilowii Maxim,化痰药,DAL,MOL004739,4739,534,
芡实,Qianshi,Euryales Semen,收涩药,DAL,MOL004739,4739,534,
蚕沙,Cansha,Bombyx Mori L.,祛风湿散寒药,DAL,MOL004739,4739,534,
一枝黄花,Yizhihuanghua,Solidaginis Herba,辛凉解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
乳香,Ruxiang,Olibanun,活血祛瘀药,(-)-Epoxycaryophyllene,MOL000474,474,295,
冰片,Bingpian,Borneolum Syntheticum,开窍药,(-)-Epoxycaryophyllene,MOL000474,474,295,
柴胡,Chaihu,Radix Bupleuri,辛凉解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
白芷,Baizhi,A. Dahurica (Fisch.) Benth. Et Hook,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
益母草,Yimucao,Leonuri Herba,活血祛瘀药,(-)-Epoxycaryophyllene,MOL000474,474,295,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,(-)-Epoxycaryophyllene,MOL000474,474,295,
紫花地丁,Zihuadiding,Violsse Herba,清热解毒药,(-)-Epoxycaryophyllene,MOL000474,474,295,
紫苏,Zisu,Perilla Frutescens,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
荆芥,Jingjie,Schizonepetae Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
荆芥穗,Jingjiesui,Schizonepetae Spica,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
莪术,Ezhu,Curcumae Rhizoma,活血祛瘀药,(-)-Epoxycaryophyllene,MOL000474,474,295,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
蛇床子,Shechuangzi,Cnidii Fructus,解毒杀虫燥湿止痒药,(-)-Epoxycaryophyllene,MOL000474,474,295,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
零陵香,Linglingxiang,Lysimachiae Foenigraeci Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
香薷,Xiangru,Moslae Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,(-)-Epoxycaryophyllene,MOL000474,474,295,
鹅不食草,Ebushicao,Centipedae Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
麻黄,Mahuang,Ephedra Herba,辛温解表药,(-)-Epoxycaryophyllene,MOL000474,474,295,
四季青,Sijiqing,Ilicis Purpureae Folium,清热解毒药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
天山雪莲,Tianshanxuelian,Saussureae Involucratae Herba,补阳药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
山茱萸,Shanzhuyu,Cornus Officinalis Sieb. Et Zucc.,收涩药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
木棉花,Mumianhua,Gossampiniflos,拔毒化腐生肌药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
桑叶,Sangye,Mori Follum,辛凉解表药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
灯心草,Dengxincao,Junci Medulla,利水渗湿药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
艾叶,Aiye,Folium Artemisiae Argyi,温经止血药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
蚕沙,Cansha,Bombyx Mori L.,祛风湿散寒药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
零陵香,Linglingxiang,Lysimachiae Foenigraeci Herba,辛温解表药,"(7aR)-4,4,7a-trimethyl-6,7-dihydro-5H-benzofuran-2-one",MOL004741,4741,1839,
凤尾草,Fengweicao,Pteridis Multifidae Herba,清热解毒药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
地耳草,Diercao,Hyperici Japonici Herber,利水渗湿药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
大蓟,Daji,Radix Cirsii Japonici,凉血止血药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
橘叶,Juye,Citri Reticulatae Folium,理气药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
橘络,Juluo,Citri Fructus Retinervus,理气药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
浮萍,Fuping,Spirodelae Herba,辛凉解表药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
罗布麻叶,Luobumaye,Apocyniveneti Folium,平肝熄风药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
荆芥穗,Jingjiesui,Schizonepetae Spica,辛温解表药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
蚕沙,Cansha,Bombyx Mori L.,祛风湿散寒药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
麻黄,Mahuang,Ephedra Herba,辛温解表药,"(E,7S,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",MOL004746,4746,3411,
伸筋草,Shenjincao,Rhizome Of Whiteback Greenbrier,祛风湿散寒药,anethole,MOL000475,475,3334,
佩兰,Peilan,Eupatorium Fortunei Turcz,化湿药,anethole,MOL000475,475,3334,
侧柏叶,Cebaiye,Platycladi Cacumen,凉血止血药,anethole,MOL000475,475,3334,
八角茴香,Bajiaohuixiang,Anisi Stellati Fructus,温里药,anethole,MOL000475,475,3334,
化橘红,Huajuhong,Citri Grandis Exocarpium,理气药,anethole,MOL000475,475,3334,
千斤拔,Qianjinba,Flemingia Prostrata Roxb,祛风湿筋骨药,anethole,MOL000475,475,3334,
升麻,Shengma,Cimicifugae Rhizoma,辛凉解表药,anethole,MOL000475,475,3334,
半夏,Banxia,Arum Ternatum Thunb.,化痰药,anethole,MOL000475,475,3334,
姜黄,Jianghuang,Curcumaelongae Rhizoma,活血祛瘀药,anethole,MOL000475,475,3334,
小茴香,Xiaohuixiang,Foeniculi Fructus,温里药,anethole,MOL000475,475,3334,
山茱萸,Shanzhuyu,Cornus Officinalis Sieb. Et Zucc.,收涩药,anethole,MOL000475,475,3334,
巴豆,Badou,Crotonis Fructus,攻下药,anethole,MOL000475,475,3334,
广藿香,Guanghuoxiang,Pogostemon Cablin (Blanco) Benth.,化湿药,anethole,MOL000475,475,3334,
木香,Muxiang,Aucklandiae Radix,理气药,anethole,MOL000475,475,3334,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,anethole,MOL000475,475,3334,
桑叶,Sangye,Mori Follum,辛凉解表药,anethole,MOL000475,475,3334,
灵芝,Lingzhi,Ganoderma,补气药,anethole,MOL000475,475,3334,
甘草,Gancao,licorice,补气药,anethole,MOL000475,475,3334,
白芷,Baizhi,A. Dahurica (Fisch.) Benth. Et Hook,辛温解表药,anethole,MOL000475,475,3334,
瞿麦,Qumai,Dianthi Herba,利水渗湿药,anethole,MOL000475,475,3334,
紫苏,Zisu,Perilla Frutescens,辛温解表药,anethole,MOL000475,475,3334,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,anethole,MOL000475,475,3334,
肉桂,Rougui,Cinnanmomi Cortex,温里药,anethole,MOL000475,475,3334,
胡椒,Hujiao,Piperis Fructus,温里药,anethole,MOL000475,475,3334,
芦根,Lugen,Phragmitis Rhizoma,清热泻火药,anethole,MOL000475,475,3334,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,anethole,MOL000475,475,3334,
花椒,Huajiao,Zanthoxyli Pericarpium,温里药,anethole,MOL000475,475,3334,
荜茇,Biba,Piperis Longi Fructus,温里药,anethole,MOL000475,475,3334,
蒿本,Haoben,Radix et Rhizoma Ligustici Chinesis,辛温解表药,anethole,MOL000475,475,3334,
覆盆子,Fupenzi,Rubi Fructus,收涩药,anethole,MOL000475,475,3334,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,anethole,MOL000475,475,3334,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,anethole,MOL000475,475,3334,
草乌,Caowu,Aconitum Kusnezoffii Reichb,祛风湿散寒药,BDMA,MOL004753,4753,3578,
草乌,Caowu,Aconitum Kusnezoffii Reichb,祛风湿散寒药,N-Methylhomoveratrylamine,MOL004754,4754,386,
丹参,Danshen,Radix Salviae,活血祛瘀药,Physcion,MOL000476,476,2033,
八角莲,Bajiaolian,Dysosmae Verspiellis Rhixoma Et Radix,清热解毒药,Physcion,MOL000476,476,2033,
决明子,Juemingzi,Cassiae Semen,清热泻火药,Physcion,MOL000476,476,2033,
吴茱萸,Wuzhuyu,Evodiae Fructus,温里药,Physcion,MOL000476,476,2033,
地骨皮,Digupi,Lycii Cortex,清虚热药,Physcion,MOL000476,476,2033,
大腹皮,Dafupi,Areca Catechu L.,理气药,Physcion,MOL000476,476,2033,
大血藤,Daxueteng,Sargentodoxae Caulis,清热解毒药,Physcion,MOL000476,476,2033,
大黄,Dahuang,Radix Rhei Et Rhizome,攻下药,Physcion,MOL000476,476,2033,
山豆根,Shandougen,Sophorae Tonkinensis Radix Et Rhizome,清热解毒药,Physcion,MOL000476,476,2033,
巴戟天,Bajitian,Morindae Officinalis Radix,补阳药,Physcion,MOL000476,476,2033,
延胡索,Yanhusuo,Corydalis Rhizoma,理气药,Physcion,MOL000476,476,2033,
枸杞子,Gouqizi,Lycii Fructus,补阴药,Physcion,MOL000476,476,2033,
枸骨叶,Gouguye,Folium Ilicis Cornutae,清虚热药,Physcion,MOL000476,476,2033,
桑叶,Sangye,Mori Follum,辛凉解表药,Physcion,MOL000476,476,2033,
牵牛子,Qianniuzi,Semen Pharbitidis,通水药,Physcion,MOL000476,476,2033,
番泻叶,Fanxieye,Sennae Folium,攻下药,Physcion,MOL000476,476,2033,
白及,Baiji,Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.,收敛止血药,Physcion,MOL000476,476,2033,
白蔹,Bailian,Ampelopsis Japonica,清热解毒药,Physcion,MOL000476,476,2033,
瞿麦,Qumai,Dianthi Herba,利水渗湿药,Physcion,MOL000476,476,2033,
紫菀,Ziwan,Asteris Radix Et Rhizoma,止咳平喘药,Physcion,MOL000476,476,2033,
苎麻根,Zhumagen,Boehmeriae Rhizoma Et Radix,凉血止血药,Physcion,MOL000476,476,2033,
茜草,Qiancao,Rubia Cordifolia,化瘀止血药,Physcion,MOL000476,476,2033,
蒺藜,Jili,Tribulifructus,平肝熄风药,Physcion,MOL000476,476,2033,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,Physcion,MOL000476,476,2033,
薄荷,Bohe,Menthae Herba,辛凉解表药,Physcion,MOL000476,476,2033,
虎杖,Huzhang,Polygoni Cuspidati Rhizoma Et Radix,利水渗湿药,Physcion,MOL000476,476,2033,
连钱草,Lianqiancao,Glechomae Herba,利水渗湿药,Physcion,MOL000476,476,2033,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,Physcion,MOL000476,476,2033,
鸡骨草,Jigucao,Abri Herba,利水渗湿药,Physcion,MOL000476,476,2033,
鼠曲草,Shuqucao,Gnaphalii Affinis Herba,化痰药,Physcion,MOL000476,476,2033,
草乌,Caowu,Aconitum Kusnezoffii Reichb,祛风湿散寒药,"ACONITATE, CIS",MOL004760,4760,3390,
黑豆,Heidou,Sojae Semen Nigrum,补阴药,"ACONITATE, CIS",MOL004760,4760,3390,
延胡索,Yanhusuo,Corydalis Rhizoma,理气药,Izoteolin,MOL004763,4763,649,267
苦地丁,Kudiding,Corydalis Bungeanae Herba,清热解毒药,Izoteolin,MOL004763,4763,649,267
草乌,Caowu,Aconitum Kusnezoffii Reichb,祛风湿散寒药,Izoteolin,MOL004763,4763,649,267
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,Durenol,MOL004767,4767,3615,
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,TERT-BUTYLTOLUENE,MOL004769,4769,3811,
天山雪莲,Tianshanxuelian,Saussureae Involucratae Herba,补阳药,Ethyllaurate,MOL000477,477,3793,
木棉花,Mumianhua,Gossampiniflos,拔毒化腐生肌药,Ethyllaurate,MOL000477,477,3793,
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,Ethyllaurate,MOL000477,477,3793,
鸡血藤,Jixueteng,Spatholobus Suberectus Dunn,活血祛瘀药,Ethyllaurate,MOL000477,477,3793,
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,Diphencyprone,MOL004774,4774,901,
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,Diphencyprone,MOL004774,4774,901,
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,Angelol D,MOL004777,4777,2610,844
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,"[(1R,2R)-2,3-dihydroxy-1-(7-methoxy-2-oxochromen-6-yl)-3-methylbutyl] (Z)-2-methylbut-2-enoate",MOL004778,4778,2726,886
前胡,Qianhu,Peucedani Radix,化痰药,Angelic acid,MOL004779,4779,3282,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Angelic acid,MOL004779,4779,3282,
独活,Duhuo,Radix Angelicae Biseratae,祛风湿散寒药,Angelic acid,MOL004779,4779,3282,
乳香,Ruxiang,Olibanun,活血祛瘀药,Eucarvone,MOL000478,478,1924,
山柰,Shannai,Kaempferiae Rhizoma,温里药,Eucarvone,MOL000478,478,1924,
当归,Danggui,Angelicae Sinensis Radix,补血药,Eucarvone,MOL000478,478,1924,
