中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
丁香,Dingxiang,Caryophylliflos,温里药,ZINC00394787,MOL010123,10123,1696,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,ZINC00394787,MOL010123,10123,1696,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,ZINC00394787,MOL010123,10123,1696,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,kaempferol 7-o-alpha-l-rhamnopyranoside,MOL010129,10129,3831,
乌药,Wuyao,Linderae Radix,理气药,ZINC00388662,MOL001015,1015,685,
沉香,Chenxiang,Linderae Radix,理气药,ZINC00388662,MOL001015,1015,685,
没药,Moyao,Myrrha,活血祛瘀药,ZINC00388662,MOL001015,1015,685,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,ZINC00388662,MOL001015,1015,685,
砂仁,Sharen,Amomum Aurantiacum H. T. Tsai Et S. W. Zhao,化湿药,ZINC00388662,MOL001015,1015,685,
艾叶,Aiye,Folium Artemisiae Argyi,温经止血药,ZINC00388662,MOL001015,1015,685,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,ZINC00388662,MOL001015,1015,685,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,ZINC00388662,MOL001015,1015,685,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,ZINC00388662,MOL001015,1015,685,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"(5S,6R,7R,8S)-5,6,7,8-tetrahydroxy-2-[2-(2-hydroxyphenyl)ethyl]-5,6,7,8-tetrahydrochromen-4-one",MOL010155,10155,2796,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,chrysograyanone,MOL010157,10157,3117,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"2-(5-hydroxy-4-keto-3,7-dimethoxy-chromen-2-yl)-3,5-dimethoxy-p-benzoquinone",MOL010158,10158,2413,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"5-hydroxy-2-(2-hydroxy-4,5-dimethoxy-phenyl)-3,6,7-trimethoxy-chromone",MOL010160,10160,1222,
猫眼草,Maoyancao,Lunulatae Herba,化痰药,"1,5,6-trimethoxyphenanthrene-2,7-diol",MOL010161,10161,2079,625
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,"5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-chromone",MOL010168,10168,3177,
