中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
平贝母,Pingbeimu,Fritillariaeussuriensis Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
月季花,Yuejihua,Mori Cortex,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
月季花,Yuejihua,Mori Cortex,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
桑白皮,Sangbaipi,Mori Cortex,止咳平喘药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
桑白皮,Sangbaipi,Mori Cortex,止咳平喘药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
沙棘,Shaji,Hippophae Fructus,化痰药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
沙棘,Shaji,Hippophae Fructus,化痰药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
没药,Moyao,Myrrha,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
没药,Moyao,Myrrha,活血祛瘀药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
浙贝母,Zhebeimu,Fritillariae Thunbrgii Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
浙贝母,Zhebeimu,Fritillariae Thunbrgii Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
鸡屎藤,Jishiteng,Paederiae Scandentis Herba,消食药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
鸡屎藤,Jishiteng,Paederiae Scandentis Herba,消食药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
八角茴香,Bajiaohuixiang,Anisi Stellati Fructus,温里药,C09628,MOL010044,10044,928,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.908163,0.726,0.8170815,CHRM1,P11229
八角茴香,Bajiaohuixiang,Anisi Stellati Fructus,温里药,C09628,MOL010044,10044,928,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.921927,0.716,0.8189635,CHRM2,P08172
