原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,Swiss Top1靶点名称,Swiss Top1 Gene Symbol,Swiss Top1概率,STP Job ID,Swiss查询网站,备注,TCMSP MOL_ID,中药小分子,小分子全量排名,小分子严格排名,molecule_ID连接状态
3880,10114,c1ccc(COCc2ccccc2)cc1,STP03874,成功（100条，已去重）,100,Peroxisome proliferator-activated receptor gamma,PPARG,0.3569614232603177,1459960618,https://www.swisstargetprediction.ch/result.php?job=1459960618&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010114,BA (VAN),3879,,molecule_ID精确匹配
289,10115,C/C=C/C(=O)C1=C(C)CCCC1(C)C,STP00288,成功（100条，已去重）,100,Aromatase,CYP19A1,0.8824911729266319,86852466,https://www.swisstargetprediction.ch/result.php?job=86852466&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010115,Damasione,288,,molecule_ID精确匹配
4147,10119,CCCCOC(=O)CCC,STP04140,成功（100条，已去重）,100,Carbonic anhydrase 1,CA1,0.7296156036743885,554316160,https://www.swisstargetprediction.ch/result.php?job=554316160&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010119,Butyl butyrate,4146,,molecule_ID精确匹配
3265,1012,CC1(C)C(=O)CC[C@]2(C)[C@H]3CC[C@@H]4C=CC[C@@]4(C)[C@]3(C)CC[C@@H]12,STP03259,成功（100条，已去重）,100,Aromatase,CYP19A1,0.9756881971120296,1623488437,https://www.swisstargetprediction.ch/result.php?job=1623488437&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL001012,"(5R,8R,9R,10R,13R,14R)-4,4,8,10,14-pentamethyl-1,2,5,6,7,9,11,12,13,15-decahydrocyclopenta[a]phenanthren-3-one",3264,,molecule_ID精确匹配
88,10120,CC1=C[C@H]2[C@H](C(C)C)CC[C@@H](C)[C@]2(O)CC1,STP00087,成功（100条，已去重）,100,Aromatase,CYP19A1,0.9320728872188212,1528169716,https://www.swisstargetprediction.ch/result.php?job=1528169716&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010120,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",87,,molecule_ID精确匹配
1691,10122,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C1=O,STP01687,成功（100条，已去重）,100,D(2) dopamine receptor,DRD2,0.9279680849467612,318300299,https://www.swisstargetprediction.ch/result.php?job=318300299&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010122,ZINC04023242,1690,,molecule_ID精确匹配
1697,10123,CC[C@@H](C)OC(C)=O,STP01693,成功（100条，已去重）,100,Carbonic anhydrase 9,CA9,0.4617378032589826,232348511,https://www.swisstargetprediction.ch/result.php?job=232348511&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010123,ZINC00394787,1696,,molecule_ID精确匹配
3832,10129,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)[C@@H](O)[C@H](O)[C@H]1O,STP03826,成功（100条，已去重）,100,Tumor necrosis factor,TNF,0.9893688959949144,2142324217,https://www.swisstargetprediction.ch/result.php?job=2142324217&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010129,kaempferol 7-o-alpha-l-rhamnopyranoside,3831,,molecule_ID精确匹配
686,1015,CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,STP00685,成功（100条，已去重）,100,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,0.9104542105947592,379814115,https://www.swisstargetprediction.ch/result.php?job=379814115&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL001015,ZINC00388662,685,,molecule_ID精确匹配
2797,10155,O=c1cc(CCc2ccccc2O)oc2c1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]2O,STP02792,成功（100条，已去重）,100,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,0.5856247611481504,1668877098,https://www.swisstargetprediction.ch/result.php?job=1668877098&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010155,"(5S,6R,7R,8S)-5,6,7,8-tetrahydroxy-2-[2-(2-hydroxyphenyl)ethyl]-5,6,7,8-tetrahydrochromen-4-one",2796,,molecule_ID精确匹配
3118,10157,COC(=O)[C@]1(O)C(OC)=CC(=O)[C@@]1(O)c1oc2cc(OC)cc(O)c2c(=O)c1OC,STP03113,成功（100条，已去重）,100,Acetylcholinesterase,ACHE,0.00247163068924,1965402364,https://www.swisstargetprediction.ch/result.php?job=1965402364&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010157,chrysograyanone,3117,,molecule_ID精确匹配
2414,10158,COC1=CC(=O)C(c2oc3cc(OC)cc(O)c3c(=O)c2OC)=C(OC)C1=O,STP02409,成功（100条，已去重）,100,Broad substrate specificity ATP-binding cassette transporter ABCG2,ABCG2,0.0021369861556478,2106166329,https://www.swisstargetprediction.ch/result.php?job=2106166329&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010158,"2-(5-hydroxy-4-keto-3,7-dimethoxy-chromen-2-yl)-3,5-dimethoxy-p-benzoquinone",2413,,molecule_ID精确匹配
1223,10160,COc1cc(O)c(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,STP01221,成功（100条，已去重）,100,Broad substrate specificity ATP-binding cassette transporter ABCG2,ABCG2,0.986247567845546,289732779,https://www.swisstargetprediction.ch/result.php?job=289732779&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010160,"5-hydroxy-2-(2-hydroxy-4,5-dimethoxy-phenyl)-3,6,7-trimethoxy-chromone",1222,,molecule_ID精确匹配
