原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
686,1015,CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,STP00685,成功（100条，已去重）,100,9.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2797,10155,O=c1cc(CCc2ccccc2O)oc2c1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]2O,STP02792,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3118,10157,COC(=O)[C@]1(O)C(OC)=CC(=O)[C@@]1(O)c1oc2cc(OC)cc(O)c2c(=O)c1OC,STP03113,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2414,10158,COC1=CC(=O)C(c2oc3cc(OC)cc(O)c3c(=O)c2OC)=C(OC)C1=O,STP02409,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1223,10160,COc1cc(O)c(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1OC,STP01221,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2080,10161,COc1c(O)cc2ccc3c(OC)c(O)ccc3c2c1OC,STP02075,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3178,10168,C[C@@H]1O[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,STP03173,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2394,10169,O=c1ccc2cc3c(cc2o1)OC[C@@H]([C@H](O)c1ccc(O)c(O)c1)O3,STP02389,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3753,10172,C[C@@H]1O[C@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@@H]1O,STP03747,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1020,10189,C[C@@H]1CC(=O)[C@@]2(C)[C@H](C)c3ccoc3C[C@@]12C,STP01019,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3732,10198,CCCCC[C@H](C)C(=O)O,STP03726,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4083,10199,CCCC[C@@H](C)C(=O)O,STP04076,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4044,10205,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,STP04037,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
